rank,company,score,recommended_service,justification,sources
1,Hyundai Motor Company,67.7,Supply-Chain Risk Prediction,Heuristic: supply chain signals found.,https://news.google.com/rss/articles/CBMib0FVX3lxTE5SUVNWdEs2SlVBQklkWVgyaF9wTzh2dnZFa0RCNDR0ZDVwU0hvSHhFa1BpVGtTMUF1aHozNVlWWTBjc1Z2cHpLSl9LNmZhcnF3c3dLUjRSd0hYakVZT2hjZmt2NTJhREk1eXdJR1c2WQ?oc=5;https://news.google.com/rss/articles/CBMicEFVX3lxTFBXT2RUUlloem1FdWJtTkJaLU1DUnAxNjlSY05nUTZJSGRoQndUYS1CTWs2bzNEQ3d5NGdEblVUWW5UVG1GUV96WDlZSWpKN3J1cTE4WFV3YXRWMndNczFuTkZYMU9xbFpncmJRLU5Vd1g?oc=5;https://news.google.com/rss/articles/CBMiggFBVV95cUxQa0xHaFBOZTBpdWEtdUJUOEJ4LXZPbXpxUnh0VHJoSkdtUVFzc3BMeDYtNFhxZ0NrNWU0SkJKRkxGMUJLX0VGaUdvVEZKd09LS0MyQnVfXy0zbUROcWp1Y1FselVVQ3U3all5andEaFhoRVlWMVdiY2dINWk4TVhrOHRR?oc=5
2,Denso,66.54,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMiywFBVV95cUxNazVJd1dTcEZNWHFUdkRhUkQ5X2RfMkszRVFHamdQUFl3dGhIR1hPX2x2Z0gxSlZXVk1uZHNPNkJIRDlmb25CMld5Ujg3ZWR2XzBwMTlHZ2RsUmczelRCVExvNTFueGlRcTBXNGUxOEJlenFiWFJiT2g5eWdYTDRhcEwzV2VVQlNpaHFYQ2ZWMEZkcHQ0cU9WZU41STJjaGpmZnRvNDJLR2hSSnMzZXdkVVJRanBlY3pmV2hRaWhTQmY5SFhnUi1BRXp2ONIB0AFBVV95cUxOakd1Ry1LdTVxWjRaMW5KWXU3N0V3bGF6RFdhTG40OGZBSThSdWE4QWMtM1ZjVG9pbGFyYURKM1NtUHdSOTExSVVNRE0tS09reXBFaS1fNmlXU3liaE51WlFhZlRwdXhnMGR2bmJHb3RFck5vdC1NMmlEeXJHM1JDV2RHdVdJREdIOWYzUEhiSjREbWI4NHJITnFDTjNyWWhEUFNRZFhLLTZVYmxkNkk4bXAyVzZMSzBvR3VZZExfeFlpdHg2QjdTTjhacnNBMUZk?oc=5;https://news.google.com/rss/articles/CBMickFVX3lxTE1PYkppdWRqTGZhTFllNjZFOGNHXzJ4dV9mekhIN1NOSkpZXzdnU25WeG5fMDVoUEY4SnlfZUYyUDdGMW81Uy1yencwZVVsT0lrVmFuZ1BaY3pHMktXeGIwMmEwN0xTTlotZVF3YkJUcHJPUQ?oc=5;https://news.google.com/rss/articles/CBMi5AFBVV95cUxOT2RSa3c0SXJMTWlmZlEwZ0paU0E1ZFJobzIzU1JxeTVFSzZqMklpVnIzTWpQa29jN1N5T0JST3dVRWxLYTZpc0ZvN0ZnQTQ5ckd3U0pISVFOUGo1RGxfazRLVWY2aXVJYnJFWXg0R1dsSGJKZk1vZmg3OGs2SnN5LXdlZ1VIMXo4VWtkSUJlM2llUzlKOW5rQnlVZ2pPS0NCYlFET2dmZU40Q1pPU051QUdudjBvMUdxcXRYejN5UzNJek5yREFtd0FjenlaNnRzVGdCWlFuc19vUy0tTG1UNVdhWHA?oc=5
3,Bosch,49.36,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPa2ZLZ3U5cVFuXzBzTk1BRGhSQ0RKNWdrVEpfSnZ0VVhHY2RiNUF6Q0hfYW9lalI0NDNpY1k2cTlNeXdmd2hXTUF0eE1lcWhtanpJQkZ0TnNtc2pfU2dzQUlFZGpZcEdzazdYeEVERlpCWjlteVBEaGxfQmtuVXpOVkJOY05ET194d0xoRkI2Y3ZXYTlTem15enExbUNzTFdIdkpZb3N1NllEV0wzYU5Yd1VuQ0ZMMGRaOFRuZkI2eDRNQ0dHeEhNWnQ1XzE1U2R4ZnNr0gHTAUFVX3lxTE1yZ3d5MXo4TlRGRUozX0piUHkzZFRkd1JaYmozRl8wZkVMUkZGVGVZamRLY2FZR2lGUkFxTng4ZjlMZjRGUk9uUVB6LVFYX21iMFZDY2d0TFFVelJjSDRpcDBSdHg2bjZDY0hNRTg2ZDRFenZzTUF2VmxNVlpaZ3Q5emZrazM0MVhGSmtmaUxESi1TSldJbER3eklGSkEwekd6UjhHQlMtM0Mwcng0d0YwSHo4NEtFUjFyLUwyWlpBUGx5YjE1eHRWemRqOFJlMGszY2c?oc=5;https://news.google.com/rss/articles/CBMibEFVX3lxTE1vYVJRVVl3TmxGWkJ6VXJDZENTZDR4aUZGN29LLVZ1VXNtTUQ5TUpOanpacnkxeFZkaDBwTzZ1QWZwMV9SZTFsVE9wdmJaYXNhelNwZ2xDS05NVEUwVEdKMnJGQXZTOUJHR0JzOQ?oc=5;https://news.google.com/rss/articles/CBMijwFBVV95cUxPNmZuMmc5czJTX1dwR25UeGN6cXVWX1hJM3RJcHZXMG9OaGxhalI1RnlHZHloVC1UZjllVGlGMm0tQ3ZNLTFPbzV1Y3hxRVZPSHYxdEh3SkxaTjltREJYNlhseTMzcGs2cVZYM082bzZBX0hGalJiN081NGk4TVJ0QzU5VlF5VzJZZm56MzVtbw?oc=5
4,Magna International,44.49,Supply-Chain Risk Prediction,Heuristic: supply chain signals found.,https://news.google.com/rss/articles/CBMiogFBVV95cUxOMjVXTjRab29VbUVuazQ5SGtneWVzZjBKdmg3M3BldDBOOHk5Ynk0YzFXRktDbXNIamUxd0FaWXhveVY5MTRfMmFrYk5nTFdpWmJQd0xNYldhUVhaeENOa1locDBuWWZDckY0d1FsLVhrWGhrb0pkcEpNVkN6ZWQ5R0NrLUFpMkN4ekVkMG5pSFBVUnJENUNnaEd3U1JXNVpOVnc?oc=5;https://news.google.com/rss/articles/CBMiwAFBVV95cUxNRnctbXJ1M2FleXFCQ3QycmNEeTdqbFBjQnExVW1jZTBnVEthQlFFeDFDd0RLQXBZU1k0cjFZdmtmN3RibUlpTDVoYWsyY3VRWlNieThnOThwNm5ZbnJFVWF6SWlnUHAyYW9BSVQydTVQbGY5TFpSTDdDcnM4UnlGVWd5RTBSRUlFdTRCd2w0QmxoZ1NHbXdHc2pBRC1BNkxFeFdmd092RjUyUERaR2NnVE1oUTk4cGdCZHJpM3JuZi0?oc=5;https://news.google.com/rss/articles/CBMiqgFBVV95cUxNMElEMUk1ckp2XzBJQ3VKYnJvcm1fRTNtenhSdEczTXhWU0JOZHRJODNHYzFNWURjZDU4ekx6c3RkTTJFeTlLXzRuLUZuaXR5LXZ2b2I1d3ZGR1JmSk9kSEJVTVc2OHhvM1RqNUpsVDZMRDdGMExBUkVjcF9PUHhWSTBFVjBMbDRRc1YzYjF2Unl6ekFUR3lPY0R5akYzbTRQdWZTa2FNdkhYQQ?oc=5
5,Toyota,37.96,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMigAFBVV95cUxQRVpVLWVfamNOb3l5a2toamp2MmxCSXRma1RzbDdLa2hGaW5DaVExazVJalpqbW5faGdabjZPMG1HRXk4dnhtelRzNmZBZFF1WUZyMFl5VHpzdmJlYVg4ZmVxUmNralZHbTdNcktKUFJRM0MxZ0pWWTI5SGlWZXVocQ?oc=5;https://news.google.com/rss/articles/CBMibkFVX3lxTE9BNzRES05MVTQ0bnc0LVRraDFlYmZidHQxNnd6NlRJMTd2c1BuZzhwUFYxOXJ2bDhkZk4tWUNXNWMwN3dFZ2hlMDB5b2R3cjJkX3dncVVsc2ZDNHpUWVB2SWpoYlNxQkFkZ3ZKMzNR?oc=5;https://news.google.com/rss/articles/CBMimwFBVV95cUxPNmhseVB3WWFocTdNaHlpaGlXWlhGbWlwbVNEWUV1a1pKR3czWlJtYVBWTE5qNTAyR0R4cllvUDhrSFFZdDlqT0lQRU05aS1faVlsUWlVQUdlVnBkTVNVMG5GTVNUZmEyVE9GUXl2RmsxSnI4cFR4MWRJdnI1SjlLRndwb3JDdmVnUTBGQnFMZ1hEWURUV0VLYUdtZw?oc=5
6,ZF Friedrichshafen,36.81,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMingFBVV95cUxPblVQZXJWRWlhckg5QVBvMTk5MFkzWV9Ma3VNb2ZHSjQydHRSM1R1cnRFcEdEcXZRdFJMaHd6WlFRbXhGQ01SUE1kQ0ZuaV81U2EzQ0hQUjJzaWR3ejYzSHVGWklIWlVVRXhxLU1kNGhIN2NMMjFwR0tEajIxZDJvc0pzUXBFbXgydmVxNjg5TUNsQ2tXNGNsVTljM3cyQQ?oc=5;https://news.google.com/rss/articles/CBMiakFVX3lxTE9Mc2lMT2c1aThlY1U5OENpVEY4SkZjMVh4QW9QRjBrT3dGNkdld3lmMU5hTFB5ZE0wNkIwNWxhbTdVOUUwc1BXOWhSQmprTjBUQk16eUhiclgyTnpkN3EybXRVZkFmd09aTVE?oc=5;https://news.google.com/rss/articles/CBMibEFVX3lxTE1JUng3U1RDeTE4azJSV1cxcWRtbFk0RFNMb2pYaHRUOElMT2VidzFBOXV3ZVZPUmV6NVJueF8wVExlWUE0UTkwQkRpRy10SGVBd2IzSkR6SmJ5WkNJUVRVYzFHODJhdW9GRXpkLQ?oc=5
7,Volkswagen,29.06,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMikgFBVV95cUxOZWdYU2hWZEZjQUtmampCbWItNTNKZXYyOTFidTMzbm5UaktkVDBzenoyLVhJRVNya0lBaUQzTGNITGZzRjlHbGVHYlY0bEhuTTh6TUhNalVmaTFibTF4Zll4LTFUa1VsbE9DekNTNHpiSGdnMDBFY0RPM0RIOWgwTHlFZWhnTnRsUEE1RTRfdFRCUQ?oc=5;https://news.google.com/rss/articles/CBMibkFVX3lxTE9BSlJURThqdUlUal9pX3A5OEt1OWxka2FWTDgyRW1Ja0VhUHhkNEhfYWFLQ2RwMDRPYlY4RVgyZjdDdVNzaGswdzFLcFA2S2w0N2R0ZzFlMEVwUy1zYXdPcTRxT0t5VjNlVExHVEZn?oc=5;https://news.google.com/rss/articles/CBMiogFBVV95cUxPRjdBWXBNTThwdmdOV3VXd1F6Q1dmR0I0OUxSV2JxZ3pOQlRoTmFEVUlHU2djQWdONzFIOE9BRVhkcnNzQ2k3SHdpcEFza1NFanIwblZSY184Z3B6Rk8zWThtbTVJTE45RllvUW1fb0FVa2xFRWtqRk0wdmx4TWVSOUZLT3BxdktLaWZQdVNJYldGREd3cnkyX2l2SEFTUTg0MFE?oc=5
8,Continental,22.6,Dealer & Field Service Intelligence,Default recommendation.,https://news.google.com/rss/articles/CBMioAFBVV95cUxNc1RkYkhnRFpvTHhxUHhwblRKVVdiVjZaVllvX0k5bTVlMGZhckkxTENQWHhFTTl2dkFBdWY4Ri01anJ6MzFJejFsZ2xzOWtfLXRpaFhkTmpwQjNWQk45QXpkYTRoazhuWl8wdS1CaW9JWmZJYkp5NFB1OFgybElnaDVpbVYxSnByY1pSUnpWMHYxOE13Si1rUlhNR1FBTGw1?oc=5;https://news.google.com/rss/articles/CBMi1wFBVV95cUxNbzBvT0lkZHZ5aWI3UmptSzhVekgtZHJhQ0xIM0VseVUtazFMYVp0S0piU3NJeXFTNUpoYlFsMEtxQ1loRlN0WGRXSFRUN2x4Tzl6bnp1NVlSbHVJYVFlMGFKZ3RxdHNzcmVqVkxOZ3JkUE95WWRPT3pUYWtPeWhLODNSTHhsTEo3dUg5VEJLR09NalZtT3FCRml2a0VjblpsaXB2UU83QWk0eEluM0g2a3N4Y19UZTZWclJQUHo1QzJTRmV4N2hWYlZaOWl5N2t5aEJ6REh2SQ?oc=5;https://news.google.com/rss/articles/CBMilwFBVV95cUxNVlBZWlRlWXFCc05yOTdCS3lLU0tFNjhJZXJ6b0lVcFBKa3lETWJzUkZLTHdoeF9nYVJMRlpEbzFlRmpVbVVSbHpuT05NcFlzV0QzSDNBM055ckptRjdRczBLdUdvSU9PY1pBYU5BcXNNbk9yUVN6TFRmTEdiSnhrS25zYmFGUUZmcnFZTjlPM2RBUXhPR05B?oc=5
